month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2022-11,Alabama,15442,210,22068,19922,1190,1545,0,12,9,1,2281,1177,14,35,0,0,0,0,26,16,6,0,0,0,63954
2022-11,Alaska,292,5,3182,2890,332,265,0,1,0,0,83,52,1,14,12,0,0,0,0,1,19,0,0,0,7149
